"FEEDBACK_ID","MERCHANT_ID","FEEDBACK_DATE","RATING","FEEDBACK_THEME","FEEDBACK_TEXT"
"FB-000027",31466,"2025-09-27",2,"fees_transparency","I've got four restaurants across Amsterdam and Rotterdam, and I'm seeing a €2.50 ""gateway fee"" on two of the statements but not the others. All locations process roughly the same number of transactions—around 1,800 per month—so why the inconsistency?"
"FB-000028",23630,"2025-07-07",2,"fees_transparency","Our two petrol stations in Bavaria show completely different interchange rates for what look like identical Mastercard transactions. One site shows 0.3% and the other shows 0.8%. Both are chip and PIN, both weekday mornings, so what gives?"
"FB-000029",1916,"2025-06-18",3,"fees_transparency","I operate five retail shops in Lisbon and Porto, and the ""scheme fees"" line item varies wildly between them—from €18 to €67 last month. Nobody has explained to me what this actually covers or why it's so different when we're all selling similar products."
"FB-000030",1256054,"2025-06-11",2,"fees_transparency","My two bakeries in Brussels process about €45,000 monthly each, but one statement shows €340 in fees and the other shows €490. When I called, they mentioned something about ""blended versus interchange-plus"" but I still don't understand why we have different pricing models."
"FB-000031",1112687,"2025-08-22",3,"fees_transparency","We've got six pharmacies across Greece and I've noticed our Athens locations get charged €8.50 per terminal monthly while the island locations pay €12.50. Is this a regional thing or are we on different contracts somehow?"
"FB-000032",259524,"2025-07-11",2,"fees_transparency","Running four clothing boutiques in Milan and Florence, and I'm baffled by a €45 ""authorization fee"" that appeared on only one location's statement in June. We process between 600-800 transactions per site, so why just the one charge?"
"FB-000033",1754398,"2025-08-08",3,"fees_transparency","I manage three hair salons in Vienna and the acquirer margin seems to be 0.4% at two locations but 0.65% at the third. All three have been with you for over two years, so shouldn't we have consistent pricing?"
"FB-000034",290390,"2025-09-25",2,"fees_transparency","Our two hardware stores in Cork and Galway both use the same Clover Flex, but one gets charged €3.20 per month for ""PCI compliance"" and the other doesn't show this charge at all. What's the logic here?"
"FB-000035",103906,"2025-08-05",2,"fees_transparency","I've got seven convenience stores across Spain—three in Madrid, two in Barcelona, two in Valencia—and the interchange fees on Visa debit cards range from €0.08 to €0.22 per transaction depending on location. Aren't these rates set by Visa centrally?"
"FB-000036",9921,"2025-07-23",2,"fees_transparency","My two gyms in Eindhoven and Utrecht processed almost identical volumes last month (around €38,000 each) but the total fees differed by €180. The breakdown mentions ""intra-regional"" versus ""cross-border"" but both are in the Netherlands, so I'm confused."
"FB-000037",102376,"2025-08-24",3,"fees_transparency","We operate four pizza delivery shops in Berlin and I've noticed weekend Mastercard transactions at our Kreuzberg location incur higher fees than weekday ones, but this pattern doesn't show up at the other three sites. Is there a time-based pricing structure I wasn't told about?"
"FB-000038",4932,"2025-07-01",2,"fees_transparency","Running three bookshops in Paris and Lyon, and one statement shows a €28 ""chargeback handling fee"" even though we haven't had any chargebacks in six months. The other two locations don't have this charge. Can you clarify?"
"FB-000039",16181,"2025-09-09",2,"fees_transparency","I manage five mobile phone shops across Ireland and the ""scheme fees"" explanation on the statement just says ""Visa and Mastercard assessments"" without any breakdown. When I compare locations, these fees seem random—€34 at one, €89 at another with similar turnover."
"FB-000040",145294,"2025-09-17",2,"fees_transparency","Our two garden centers in Antwerp and Ghent both processed around 1,200 transactions in July, but one shows €156 in total fees and the other €203. I need a proper line-by-line comparison to understand where the €47 difference comes from."
"FB-000041",90862,"2025-09-17",2,"fees_transparency","I've got three dental practices in Munich, Stuttgart and Frankfurt, and only the Frankfurt location shows a €15.50 monthly ""gateway maintenance fee"" on the statement. We use the same payment setup at all three, so this makes no sense."
"FB-000042",43841,"2025-06-04",3,"fees_transparency","Running four butcher shops across Portugal and the acquirer margin is supposedly 0.5%, but when I calculate it from the statement figures, I'm getting different percentages at each location—ranging from 0.48% to 0.71%. Which number is actually correct?"
"FB-000043",1900,"2025-09-28",3,"fees_transparency","My two electronics stores in Athens process a lot of high-value transactions, and I've noticed the interchange rate jumps significantly on purchases over €500 at one location but not the other. Is there a threshold I should know about?"
"FB-000044",1244758,"2025-09-24",3,"fees_transparency","We operate six cafés across Austria and I'm seeing a ""cross-border acquiring fee"" of €0.15 per transaction at our Salzburg location for certain tourist cards, but this doesn't appear on statements from our Vienna locations despite serving plenty of tourists there too."
"FB-000045",134189,"2025-07-28",3,"fees_transparency","I manage three auto repair shops in Bordeaux, Toulouse and Marseille, and the terminal rental charges are €8.50, €11.00 and €8.50 respectively. The middle one has the exact same Clover Station Duo as the others, so why the premium?"
"FB-000046",1284940,"2025-09-23",2,"fees_transparency","Our four fashion stores in Rotterdam, The Hague, Utrecht and Groningen all process between €52,000 and €61,000 monthly, but the total fee percentages range from 1.1% to 1.6%. I need someone to explain this spread because it's costing us real money."
"FB-000047",6352,"2025-09-22",3,"fees_transparency","Running two organic food shops in Dublin city center and one in the suburbs, and the suburban location consistently shows lower interchange fees on the same card types. Is there a geographic component to interchange that I wasn't aware of?"
"FB-000048",1627945,"2025-09-09",2,"fees_transparency","I've got five betting shops across Belgium and the ""scheme fees"" doubled at two locations in June with no explanation on the statement. The other three stayed flat. Transaction counts were actually down that month, so what triggered the increase?"
"FB-000049",622202,"2025-06-19",2,"fees_transparency","My three optician practices in Hamburg, Hanover and Bremen all use the same payment gateway, but only Hamburg shows a €22 ""integration fee"" each month. We've been processing payments the same way for eighteen months, so why the sudden charge at one location?"
"FB-000050",70123,"2025-08-22",3,"fees_transparency","We operate four hotels in Greece and I'm trying to reconcile why our Santorini property pays €0.32 per Visa transaction in interchange while our Athens hotels pay €0.19 for the same card type. Both are standard consumer credit cards processed with chip and PIN during business hours."
"FB-000051",1790780,"2025-09-26",3,"fees_transparency","We've been processing card payments for three years now, but I still struggle to reconcile our monthly statement with what we actually expected to pay. The breakdown between interchange, scheme fees, and your margin isn't clear enough for us to properly forecast our payment costs, which makes budgeting for our café extremely difficult."
"FB-000052",602753,"2025-06-18",3,"fees_transparency","Last month we noticed an additional €47.80 charge that wasn't explained anywhere in the statement documentation. After spending two hours going through the line items, we still can't determine whether this relates to our terminal rental or some kind of processing fee we weren't aware of."
"FB-000053",28191,"2025-06-12",3,"fees_transparency","Our bakery processes roughly 800 transactions per month, and while we understood the headline rate of 1.2%, our effective rate seems to be closer to 1.8%. I need a clearer explanation of what drives this difference because it's affecting our margin calculations on every product we sell."
"FB-000054",69042,"2025-07-26",3,"fees_transparency","The statement shows separate line items for Mastercard and Visa scheme fees, but there's no explanation of how these are calculated or why they vary month to month. This unpredictability makes it challenging to provide accurate financial reports to our board."
"FB-000055",117206,"2025-09-26",3,"fees_transparency","We were charged €12.50 for something labeled as a gateway fee in week three of last month, but we don't recall this being mentioned in our original contract. Could you provide a breakdown of what this covers and whether it's a recurring charge?"
"FB-000056",28802,"2025-08-24",3,"fees_transparency","As a small restaurant operating on tight margins, every euro matters. The difference between what we thought we'd pay based on the rate card and what actually appears on our statement is consistently around €150-200 per month, and we need to understand where this gap comes from."
"FB-000057",76095,"2025-08-06",3,"fees_transparency","I've compared our statements from June and July, and the interchange fees seem to have increased despite our transaction volume remaining stable at around 1,200 payments per month. Without understanding the mechanics behind these fluctuations, we can't properly manage our cost base."
"FB-000058",37884,"2025-06-10",3,"fees_transparency","The terminal we lease shows a monthly charge of €29, but our statement also includes a separate €15 charge labeled as equipment maintenance. We need clarification on whether these are distinct services or if there's been a billing error."
"FB-000059",1964151,"2025-07-15",2,"fees_transparency","Our pharmacy processes a mix of debit and credit cards, and I understand these have different costs, but the statement doesn't clearly separate them. This makes it impossible for us to analyze whether encouraging debit card usage would actually reduce our fees."
"FB-000060",538745,"2025-09-18",3,"fees_transparency","We recently started accepting American Express after customer requests, but the first statement with these transactions was significantly higher than anticipated. A clearer upfront explanation of how Amex fees differ from Visa and Mastercard would have helped us make a more informed decision."
"FB-000061",2206,"2025-08-18",3,"fees_transparency","There's a line item for €8.30 appearing every Tuesday on our statement, but no description of what service this relates to. These small unexplained charges add up over the year and impact our ability to accurately forecast operating costs."
"FB-000062",18644,"2025-08-01",2,"fees_transparency","The interchange rates seem to vary significantly depending on the card type, but our statement groups everything together under broad categories. For a business like ours processing 2,000 transactions monthly, we need granular data to understand our true cost structure."
"FB-000063",108,"2025-06-17",2,"fees_transparency","We were quoted a blended rate when we signed up, but the actual statement shows multiple different percentage charges and fixed fees. The lack of transparency here has made it difficult to trust the original pricing we were given."
"FB-000064",1794473,"2025-06-11",2,"fees_transparency","Our hotel processes both in-person and online bookings, and we've noticed the gateway charges for online transactions add approximately €0.15 per payment. This wasn't clearly communicated during onboarding, and it's affecting the profitability of our direct booking channel."
"FB-000065",8,"2025-07-15",2,"fees_transparency","I spent an entire morning trying to reconcile a €94 discrepancy between our expected fees and the actual statement. Eventually I found it was related to cross-border interchange, but this should be clearly labeled and explained in the documentation."
"FB-000066",1349316,"2025-08-24",3,"fees_transparency","The scheme fees increased by €23 between June and June despite our transaction count only rising by 4%. Without understanding the formula behind these charges, we can't determine if this is correct or if there's been an error."
"FB-000067",3306,"2025-09-08",3,"fees_transparency","We operate three retail locations across Belgium, and each terminal seems to have different associated fees on the statement. A consolidated view with clear per-terminal breakdowns would help us understand the true cost of each location's payment acceptance."
"FB-000068",974289,"2025-09-06",3,"fees_transparency","Our wine shop processes about 450 transactions per month, mostly on Friday and Saturday evenings. The statement shows our effective rate at 2.1%, but we were quoted 1.5%, and the explanation of additional fees doesn't provide enough detail to understand this difference."
"FB-000069",1996636,"2025-09-15",2,"fees_transparency","There's a quarterly fee of €45 that appeared for the first time in June, labeled only as a service charge. This wasn't mentioned in our contract discussions, and we need clarification on what this covers and whether it will recur."
"FB-000070",573191,"2025-07-08",3,"fees_transparency","The distinction between your acquirer margin and the pass-through costs isn't clear on the statement. As a business owner trying to negotiate better rates, I need to understand which components are within your control and which are set by the card schemes."
"FB-000071",1442832,"2025-06-16",3,"fees_transparency","We've been charged €6.50 for PCI compliance every month, but we're not clear on what this fee includes or whether we're also paying for this service through another provider. The statement needs better descriptions to avoid this kind of confusion."
"FB-000072",930540,"2025-09-09",2,"fees_transparency","Our gym processes a lot of recurring membership payments, and we've noticed these seem to attract different fees than our point-of-sale transactions. A clearer breakdown of how different transaction types are priced would help us optimize our payment mix."
"FB-000073",1,"2025-09-26",3,"fees_transparency","Last Thursday we noticed a chargeback fee of €15 on the statement, which was our first chargeback in eighteen months of processing. While we accept this fee exists, it would be helpful if the statement linked it clearly to the specific disputed transaction."
"FB-000074",1206566,"2025-06-20",3,"fees_transparency","The monthly statement runs to seven pages, but there's no executive summary showing our total volume, transaction count, and effective rate. For a busy retail manager, this would make the document far more useful for quick business decisions."
"FB-000075",322423,"2025-08-15",2,"fees_transparency","We switched from another acquirer specifically because we were promised clearer pricing, but three months in, we're still struggling to understand the statement format. The impact on our bookkeeping process has been significant, requiring additional accountant hours each month to reconcile everything properly."
"FB-000076",72130,"2025-08-16",3,"fees_transparency","I contacted you three weeks ago about the €47.50 charge appearing every month and still haven't received a proper explanation. Can someone please tell me what ""scheme assessment fee"" actually means and why it keeps changing?"
"FB-000077",1530872,"2025-09-16",3,"fees_transparency","This is my second email about the terminal rental charge. Last month you said the Clover Flex 5000 was €19 per month but I've been billed €27.80 in June and again in July - what are these extra fees?"
"FB-000078",77223,"2025-08-14",3,"fees_transparency","I raised this issue on the phone two weeks ago and was told someone would call back. I still don't understand the difference between what you call your ""merchant service charge"" and the ""interchange fee"" - they both just look like you taking money from my account."
"FB-000079",332384,"2025-09-09",2,"fees_transparency","Following up on my complaint from 15th June. The €156.30 in ""miscellaneous processing fees"" has appeared again on this month's statement and nobody has explained what transactions these relate to or why they weren't mentioned when we signed the contract."
"FB-000080",386779,"2025-06-10",3,"fees_transparency","I've now called twice about the Mastercard charges being completely different from the Visa charges. Your support person last time said they'd send a breakdown but I never received it - I just want to know why Mastercard costs me nearly double per transaction."
"FB-000081",956208,"2025-07-19",2,"fees_transparency","Second time chasing this. The gateway fee of €89 monthly was never discussed during onboarding and when I called on the 4th of last month I was promised a manager would review my account, but nothing has happened."
"FB-000082",4528,"2025-08-17",2,"fees_transparency","I emailed about this three weeks ago with no response. Every weekend my statements show higher percentage fees than weekdays - is this the interchange rate changing or are you adding extra charges on Saturdays and Sundays?"
"FB-000083",1834196,"2025-06-03",2,"fees_transparency","This is a follow-up to my query from early July. I processed 847 transactions last month and was charged €12.40 in ""authorization fees"" that don't appear in my pricing schedule - I need someone to actually explain this properly this time."
"FB-000084",1895918,"2025-09-11",2,"fees_transparency","I'm writing again because the issue from my call on 22nd July is still not resolved. The €3.20 per day ""terminal connectivity charge"" adds up to €96 monthly but my contract says €45 for communications - which is correct?"
"FB-000085",137278,"2025-08-23",2,"fees_transparency","Chasing my complaint from two months ago about cross-border fees. I have customers from Germany and Netherlands and these transactions are being charged an extra 0.85% that was never explained when I signed up for pan-European processing."
"FB-000086",1231613,"2025-08-01",2,"fees_transparency","I called your helpline on a Tuesday morning three weeks back about the difference between ""blended rate"" and ""interchange plus"" pricing and was told I'm on blended, but my statement shows separate interchange lines totaling €340 last month. What am I actually paying for?"
"FB-000087",7832,"2025-08-08",3,"fees_transparency","Following my previous contact in June: I'm still seeing a €15.50 ""PCI compliance fee"" quarterly even though I was assured this was included in my package. This has now appeared twice and I want it refunded and removed."
"FB-000088",101276,"2025-09-06",3,"fees_transparency","This is my third attempt to get clarity on the €2.30 charge that appears every time I process an American Express card. Your email last month said it was ""scheme fees"" but didn't explain why it's ten times higher than Visa transactions."
"FB-000089",1389780,"2025-08-21",2,"fees_transparency","I submitted a written complaint four weeks ago about unexpected charges totaling €203 in June. The statement just says ""interchange adjustment"" but gives no detail about which transactions or why there was an adjustment at all."
"FB-000090",12955,"2025-09-24",3,"fees_transparency","Returning to the issue I raised by phone on 18th July. The Clover Station Duo terminal was supposed to be €22 monthly but I'm being charged €22 rental plus €18.90 ""device management fee"" - this was absolutely not in the original quote."
"FB-000091",13187,"2025-06-07",2,"fees_transparency","I'm still waiting for someone to explain the €67.80 ""scheme fee assessment"" from last month's invoice. When I called two weeks ago the agent said these are Visa and Mastercard charges but couldn't tell me the rate or how it's calculated."
"FB-000092",165259,"2025-06-10",3,"fees_transparency","Second request for clarification: my pricing was quoted as 1.2% but last month I paid €890 in fees on €52,000 turnover which is 1.71%. The statement has five different fee categories and I can't work out what I'm actually being charged."
"FB-000093",197334,"2025-07-12",3,"fees_transparency","I raised this during our review call in late June and was promised a detailed breakdown. I'm seeing ""acquirer markup"" of 0.35% plus ""processing margin"" of €0.08 per transaction - aren't these the same thing?"
"FB-000094",1904036,"2025-07-06",3,"fees_transparency","Following up from my email of 9th July. The Saturday evening transactions from my restaurant are being charged 1.95% while weekday lunchtimes are 1.45% - I need to understand if this is interchange variation or something you're adding."
"FB-000095",2837,"2025-07-19",2,"fees_transparency","This is the second month I've queried the €44 ""gateway maintenance charge"" that suddenly appeared in June. Your chat agent last time said it was for my online payments but I was told the gateway was 2.4% per transaction with no monthly fee."
"FB-000096",348100,"2025-06-27",2,"fees_transparency","I'm chasing the complaint I made three weeks ago about business card surcharges. Corporate Visa cards are costing me an extra 0.60% and this was never mentioned in any of the paperwork - I need a full explanation and ideally a refund."
"FB-000097",644716,"2025-06-17",2,"fees_transparency","Writing again about the issue from my call on 2nd May. I don't understand why ""scheme fees"" are listed separately at €127.40 when I thought I was paying a simple all-in rate of 1.5% - what exactly is included in my percentage?"
"FB-000098",841168,"2025-07-04",3,"fees_transparency","Second follow-up on the terminal charges. I have three Clover Flex 5000 units and I'm being billed €35.90 each but also a single ""estate management fee"" of €28 monthly - nobody explained this additional charge when I took the extra terminals."
"FB-000099",1318197,"2025-08-08",3,"fees_transparency","I contacted support two weeks ago about debit card fees versus credit card fees. My statement shows ""regulated debit interchange"" at 0.2% but then ""acquirer debit margin"" and ""processing fee"" on top - why isn't this just one clear charge?"
"FB-000100",1290730,"2025-08-20",3,"fees_transparency","This is my second complaint about the €178 in ""assessment and network fees"" that appeared in July and again in May. When I called last month I was told someone from finance would break this down by card scheme but I've heard nothing back."
"FB-000101",18120,"2025-06-15",2,"fees_transparency","Monthly statement shows €47.80 ""scheme fee"" that wasn't in the original pricing sheet. Need to ask what this covers."
"FB-000102",19762,"2025-07-21",2,"fees_transparency","Charged €12 for PCI compliance in June but thought that was included in our package. Statement doesn't explain the breakdown."
"FB-000103",439710,"2025-08-26",3,"fees_transparency","Three different percentage rates on the invoice - 0.28%, 0.95%, and 1.84%. Which one is interchange and which is your margin?"
"FB-000104",454684,"2025-08-22",3,"fees_transparency","Terminal rental went from €19 to €24.50 without notice. Statement just says ""equipment fee"" with no explanation of the increase."
"FB-000105",411463,"2025-08-12",3,"fees_transparency","Processed 340 Visa transactions and 89 Mastercard in June. Why are the rates different for each scheme? Statement doesn't clarify."
"FB-000106",224480,"2025-08-03",2,"fees_transparency","Gateway charge of €8.50 appeared this month. We've had the same setup for eight months - is this new or did I miss it before?"
"FB-000107",1105260,"2025-09-11",2,"fees_transparency","Statement lists ""acquirer service fee"" at €35 and ""processing fee"" at €22. Aren't these the same thing?"
"FB-000108",654867,"2025-08-19",2,"fees_transparency","Maestro transactions seem to cost more than Visa Debit. Statement shows 1.12% versus 0.81% but no explanation why."
"FB-000109",429982,"2025-07-02",3,"fees_transparency","Weekend transactions on Saturday 14th June charged at higher rate. Is this normal? Statement doesn't mention anything about day-of-week pricing."
"FB-000110",2565,"2025-07-04",3,"fees_transparency","Invoice shows €156.30 in interchange but the contract said blended rate. Confused about what we actually agreed to."
"FB-000111",4785,"2025-07-02",3,"fees_transparency","Ingénico Move 5000 terminal - being charged €2.50 per month ""maintenance"" that wasn't mentioned at signup."
"FB-000112",1125881,"2025-06-23",2,"fees_transparency","American Express transactions cost us €18.40 in fees on just four sales totaling €420. That's over 4% - is that right?"
"FB-000113",216276,"2025-07-20",3,"fees_transparency","Statement has ""cross-border fee"" of €31.20. We're in Dublin and most customers are local. What triggers this charge?"
"FB-000114",45801,"2025-09-16",3,"fees_transparency","Chargeback fee of €15 appeared in July statement. Fair enough, but it wasn't in the fee schedule we received."
"FB-000115",386615,"2025-07-24",3,"fees_transparency","Online gateway shows different fee structure than the paper statement. One says 1.1%, the other shows 1.3% plus €0.08 per transaction."
"FB-000116",740745,"2025-07-22",3,"fees_transparency","Processed €24,680 in card payments last month. Total fees were €387.50 but can't work out how that number was calculated from the rates given."
"FB-000117",393516,"2025-06-15",2,"fees_transparency","PAX A920 terminal charge is €28 monthly but sales agent said €22. Statement offers no detail on what the €28 includes."
"FB-000118",4478,"2025-06-17",2,"fees_transparency","Interchange listed as €94.20, scheme fees €47.10, acquirer margin not shown separately. Need full breakdown to understand total cost."
"FB-000119",416215,"2025-06-01",2,"fees_transparency","Contactless transactions under €50 - are these charged differently? Statement groups everything together so impossible to tell."
"FB-000120",617,"2025-09-04",3,"fees_transparency","Thursday evening batch settlement on 6th May shows extra €3.20 fee. No explanation on statement for this charge."
"FB-000121",247935,"2025-09-02",3,"fees_transparency","V Pay cards from German tourists charged at 1.65%. Thought all debit cards were same rate. Statement doesn't explain the difference."
"FB-000122",3,"2025-07-28",3,"fees_transparency","Authorization fee of €0.02 per transaction adds up - that's €6.80 extra this month on 340 transactions. Wasn't aware of this charge."
"FB-000123",1,"2025-06-25",2,"fees_transparency","Statement shows ""regulatory assessment"" of €8.15. What regulation and why wasn't this in the original pricing discussion?"
"FB-000124",56149,"2025-06-20",3,"fees_transparency","Refunded a €180 transaction on 22nd July. Statement shows we were still charged the processing fee. Is that standard?"
"FB-000125",2026,"2025-08-04",3,"fees_transparency","Monthly minimum fee of €25 applied even though we processed €8,400. Statement doesn't explain what triggers this or how it's calculated."
"FB-000126",1137101,"2025-07-17",2,"fees_transparency","We process roughly 1,200 Mastercard transactions per month on our Clover Flex terminals and I've noticed that the interchange rate seems to fluctuate between 0.8% and 1.3% depending on the card type, but your monthly statement doesn't break down which transactions triggered the higher rate. Can you provide a CSV export that maps each transaction to its specific interchange category so I can reconcile this properly?"
"FB-000127",930087,"2025-06-03",2,"fees_transparency","I was charged €47.50 for ""gateway services"" on my June statement but we only started using the online checkout integration on June 23rd, so I don't understand why I'm being billed for the full month when we only had 8 days of e-commerce activity."
"FB-000128",166152,"2025-07-09",2,"fees_transparency","Our Clover Station Duo terminal is showing ""Interchange++"" pricing on the merchant receipt but the monthly statement groups everything under ""card processing fees"" at 1.95% flat. Which one is correct? I need to know if I'm actually on a blended rate or if the terminal display is just misleading."
"FB-000129",26423,"2025-08-10",3,"fees_transparency","Last Tuesday between 14:00 and 16:00 we processed 23 Visa Debit transactions averaging €12 each, and I calculated the interchange should be around €0.05 per transaction based on the EEA consumer debit rate, but the statement shows €0.09 per transaction. What am I missing here?"
"FB-000130",357528,"2025-09-08",3,"fees_transparency","The Payone gateway is adding a €0.12 authorization fee on every single transaction, which wasn't mentioned in our contract, and when I multiply that by our 890 monthly transactions it's an extra €106.80 that I didn't budget for."
"FB-000131",203696,"2025-06-04",3,"fees_transparency","I received a charge labeled ""Scheme Fee - Mastercard"" for €18.20 but I have no idea what this covers or how it's calculated. Is this per transaction, a percentage of volume, or some kind of monthly membership fee?"
"FB-000132",1560436,"2025-08-06",3,"fees_transparency","Our weekend transactions on the Clover Flex seem to carry a higher effective rate than weekday transactions—I'm seeing 1.87% on Saturday and Sunday versus 1.65% Monday through Friday for similar ticket amounts on domestic Visa cards. Is there a time-of-day or day-of-week surcharge I wasn't told about?"
"FB-000133",1,"2025-06-18",3,"fees_transparency","The statement shows ""Acquirer Margin: 0.45%"" but then there's also a ""Service Fee: €35/month"" and a ""PCI Compliance Fee: €8/month"" and I don't understand if the 0.45% is supposed to cover your services or if all these fees are stacked on top of each other."
"FB-000134",1091006,"2025-07-02",3,"fees_transparency","We upgraded our terminal firmware on the 12th of last month and immediately started seeing a ""Terminal Management Fee"" of €4.50 per device per month, which was never mentioned during the upgrade process. Is this a new charge or was it always there and I just didn't notice?"
"FB-000135",846159,"2025-09-09",2,"fees_transparency","I'm comparing two transactions from the same day: one Mastercard consumer credit for €45.80 and one Mastercard consumer debit for €44.20, but the interchange on the credit card transaction is nearly triple that of the debit. Can you explain why the difference is so extreme when the ticket amounts are almost identical?"
"FB-000136",45579,"2025-09-06",3,"fees_transparency","Our Worldline Yomani XR terminal is configured for contactless and we process about 70% of transactions via NFC, but I can't find any breakdown on the statement showing whether contactless transactions have different interchange rates than chip-and-PIN. Do they, and if so, where is that disclosed?"
"FB-000137",420443,"2025-06-17",2,"fees_transparency","There's a line item for ""Cross-Border Interchange Uplift"" totaling €67.30 in June, but we're a small café in Dublin and I can't imagine we had that many foreign cards. Can you provide a list of which specific transactions triggered this charge so I can verify it's accurate?"
"FB-000138",14836,"2025-08-10",3,"fees_transparency","The contract says ""Interchange + 0.40% + €0.08"" but when I reverse-engineer the fees from my statement, I'm getting an effective margin closer to 0.65% per transaction. Are there additional passthrough fees embedded in the rate that aren't being itemized separately?"
"FB-000139",4343,"2025-06-22",3,"fees_transparency","I was charged €22 for ""Chargeback Administration"" even though we only had one chargeback this month for €89, and I won the dispute. Why am I paying an admin fee for a chargeback that was reversed in my favor?"
"FB-000140",52852,"2025-07-28",3,"fees_transparency","Our our previous provider Air terminal shows the customer a total that includes the transaction amount, but on the statement I see separate line items for ""Authorization Fee,"" ""Interchange,"" ""Scheme Fee,"" and ""Acquirer Margin,"" and when I add them all up it's 0.18% more than what I thought I was paying. This feels like hidden fees."
