"CASE_ID","MERCHANT_ID","OPENED_DATE","CASE_CATEGORY","PRIORITY","CASE_THEME","CASE_TEXT"
"CS-000040",1462,"2025-09-08","Account Administration","P4 - Low","account_admin","Business owner called requesting statements for September, September and September 2023 showing total quarterly Visa volume of €47,832.15 for VAT return submission deadline of 31st June 2024."
"CS-000041",355,"2025-06-16","Account Administration","P4 - Low","account_admin","Merchant requested addition of new user with limited permissions to process refunds only, following internal control policy changes. Specified user should not have access to settlement or reporting functions."
"CS-000042",41457,"2025-08-05","Account Administration","P4 - Low","account_admin","Request to update registered company name following merger completed on 22nd June 2024. Merchant provided certificate of incorporation and requested all documentation reflect merged entity from 1st June 2024."
"CS-000043",111298,"2025-08-23","Account Administration","P4 - Low","account_admin","Business owner emailed to add fourth location in Amsterdam processing estimated €8,500 monthly across 200 transactions. Requested single Clover Station Duo terminal with PIN entry capability for delivery by 15th July 2024."
"CS-000044",13707,"2025-09-28","Account Administration","P4 - Low","account_admin","Merchant called to update accounts payable email address for monthly invoice delivery. Confirmed change should apply to all three active locations in Spain processing combined monthly volume of €34,600."
"CS-000045",14414,"2025-07-21","Account Administration","P3 - Medium","account_admin","Request received to close location in Vienna that processed final settlement of €3,142.78 on Monday 4th June 2024. Merchant confirmed two Clover Flex returned and requested final statement by 15th June 2024."
"CS-000046",1037527,"2025-06-02","Account Administration","P4 - Low","account_admin","Business owner requested copy of June 2024 statement showing 412 Mastercard transactions totaling €19,847.32 and 387 Visa transactions totaling €17,293.65 for monthly management accounts."
"CS-000047",1792882,"2025-07-08","Account Administration","P3 - Medium","account_admin","Merchant submitted request to add emergency contact details for after-hours technical support escalation. Provided mobile number and specified contact available Monday to Saturday between 08:00 and 22:00."
"CS-000048",1738,"2025-07-02","Account Administration","P4 - Low","account_admin","Request to update registered business trading name on customer receipts from abbreviated version to full legal name effective immediately across all five locations in Germany."
"CS-000049",736433,"2025-07-18","Account Administration","P4 - Low","account_admin","Business owner called to add new location in Lisbon opening 20th July 2024 with expected weekend trading volume of €6,000 and weekday volume of €3,500. Requested two terminals with split settlement capability."
"CS-000050",905538,"2025-08-06","Account Administration","P3 - Medium","account_admin","Merchant emailed requesting June 2024 statement be resent to updated accounts email address as original sent to discontinued address. Statement shows total processing volume of €28,456.90 across 734 transactions."
"CS-000051",174457,"2025-06-10","Account Administration","P3 - Medium","account_admin","Customer called asking if it's possible to update the mobile number on file as they've changed phones and want to make sure they receive SMS alerts about transactions. They weren't sure if this was something they could do themselves or if they needed our help."
"CS-000052",978955,"2025-09-04","Account Administration","P4 - Low","account_admin","Merchant is wondering how to add their new shop manager as a user on the portal so she can access daily reports. They asked if there's a limit to how many users they can have and whether each person needs a separate email address."
"CS-000053",128642,"2025-08-14","Account Administration","P4 - Low","account_admin","Small café owner called to ask about changing their registered business name from the old one to the new one they've been trading under for the past two months. They wanted to know if this would affect their existing terminal or transaction history."
"CS-000054",38226,"2025-08-26","Account Administration","P4 - Low","account_admin","Customer inquired whether they need to notify us before closing their second location in Lyon next month. They're keeping the main store open and wanted to understand if there's a process for this or any fees involved."
"CS-000055",714233,"2025-06-09","Account Administration","P4 - Low","account_admin","Merchant asked if we could send them copies of their statements from June, June and June as their accountant needs them for tax filing. They mentioned they can't find them in the portal and weren't sure where to look."
"CS-000056",12849,"2025-08-22","Account Administration","P4 - Low","account_admin","New restaurant owner called asking how to update the email address on the account because the previous owner's email is still listed. They've taken over the business three weeks ago and want to receive all correspondence themselves."
"CS-000057",5201,"2025-08-03","Account Administration","P4 - Low","account_admin","Customer wants to know if they can add a third location to their account as they're opening a new shop in Dublin next Tuesday. They asked whether they'd need a new terminal or if we could just update their existing account details."
"CS-000058",369121,"2025-07-20","Account Administration","P3 - Medium","account_admin","Merchant called wondering if it's possible to change the billing address on file since they've moved their head office to a different city. They were polite and just wanted to make sure invoices go to the right place going forward."
"CS-000059",1965206,"2025-08-04","Account Administration","P3 - Medium","account_admin","Small retailer asked about the process for updating their phone number and email at the same time because they're changing both. They wanted to know if they should call back or if we could handle everything in one go."
"CS-000060",1042602,"2025-08-14","Account Administration","P4 - Low","account_admin","Customer inquired whether closing one of their two locations would affect their processing rates or monthly fees. They're consolidating operations and wanted to understand the implications before making a final decision."
"CS-000061",385048,"2025-09-04","Account Administration","P4 - Low","account_admin","Merchant asked if they could get a copy of last month's statement showing all their Visa and Mastercard transactions because they're reconciling their books. They mentioned receiving around 450 transactions that month totaling approximately €12,000."
"CS-000062",17698,"2025-09-18","Account Administration","P4 - Low","account_admin","New business owner called asking how to remove the previous owner as a user and add themselves as the primary contact. They completed the purchase last week and want to ensure they have full access to everything."
"CS-000063",369004,"2025-06-11","Account Administration","P3 - Medium","account_admin","Customer wants to update their business trading name on all documentation and asked if this would require any paperwork from their end. They rebranded six months ago but only just realized the old name is still showing on statements."
"CS-000064",1486011,"2025-09-22","Account Administration","P3 - Medium","account_admin","Merchant inquired about adding their bookkeeper as a read-only user so she can download statements without being able to make changes. They weren't sure if different permission levels were available and wanted to check."
"CS-000065",1884881,"2025-08-28","Account Administration","P4 - Low","account_admin","Small hotel owner asked if they need to inform us that they're closing their gift shop location but keeping the main reception terminal active. They wanted to know if there's a form to fill out or if a phone call is sufficient."
"CS-000066",40591,"2025-07-16","Account Administration","P4 - Low","account_admin","Customer called requesting statements for the last quarter as they're preparing for an audit. They asked if these could be emailed as PDFs and how long it typically takes to receive them."
"CS-000067",8223,"2025-09-07","Account Administration","P4 - Low","account_admin","Merchant wants to add a fourth location in Porto and asked what information we'd need from them. They currently have three terminals processing about €8,000 weekly combined and wanted to know if setup would take long."
"CS-000068",1458841,"2025-08-23","Account Administration","P4 - Low","account_admin","New manager called asking how to update the primary contact details since the owner is semi-retired and wants all communications to come to them instead. They were very polite and just wanted to understand the steps involved."
"CS-000069",1625979,"2025-06-26","Account Administration","P4 - Low","account_admin","Customer inquired whether they could change their registered office address online or if they need to send us documentation. They're moving premises next Friday and want everything updated before then."
"CS-000070",11183,"2025-09-06","Account Administration","P3 - Medium","account_admin","Merchant asked if it's possible to add their business partner as a user with full administrative rights. They want both of them to be able to manage the account and weren't sure if there were any restrictions."
"CS-000071",860113,"2025-09-19","Account Administration","P4 - Low","account_admin","Small shop owner called requesting a duplicate statement from September because they've misplaced the original. They mentioned they usually receive them by email but can't find that particular one in their inbox."
"CS-000072",208715,"2025-08-20","Account Administration","P3 - Medium","account_admin","Customer wants to know the process for closing their account for a seasonal location that only operates during summer months. They asked if they could reactivate it next year or if they'd need to reapply completely."
"CS-000073",4,"2025-06-01","Account Administration","P4 - Low","account_admin","Merchant inquired about updating the contact telephone number to their mobile instead of the landline currently on file. They're often out doing deliveries and want to be reachable if we need to contact them urgently."
"CS-000074",36952,"2025-08-06","Account Administration","P4 - Low","account_admin","New franchisee called asking how to change all the account details over to their name as they've just taken over the business. They wanted to know what documents we'd need and how long the process typically takes."
"CS-000075",25122,"2025-08-21","Account Administration","P4 - Low","account_admin","Customer asked if they could receive a statement showing just their Mastercard transactions from last Wednesday when they processed about 60 payments totaling roughly €2,400. They're trying to track down a specific batch that didn't seem to settle correctly."
"CS-000076",471316,"2025-08-05","Account Administration","P4 - Low","account_admin","Customer operates three coffee shops in Dublin and noticed that the Grafton Street location processed €12,450 last week while the Temple Bar site only did €8,200, wants to add a new user login so their operations manager can access statements for both locations to investigate the discrepancy."
"CS-000077",156,"2025-08-22","Account Administration","P3 - Medium","account_admin","Multi-location restaurant group with sites in Lyon and Marseille requesting business name update from ""Bistro Moderne SARL"" to ""Bistro Moderne & Fils SARL"" across all four terminals following ownership change, mentions the Lyon location has been processing roughly 400 transactions daily while Marseille averages only 220."
"CS-000078",111921,"2025-07-10","Account Administration","P4 - Low","account_admin","Franchisee running five bakeries across Munich needs to close the Schwabing location effective end of month due to lease termination. Asked if transaction history showing that site processed €45K monthly can be preserved separately from the remaining four stores."
"CS-000079",43723,"2025-06-10","Account Administration","P4 - Low","account_admin","Operator of two electronics retail shops in Amsterdam city centre and Rotterdam called about adding a third user account for new regional manager who will oversee both locations, notes the Amsterdam store uses two Clover Flex terminals while Rotterdam has three Clover Station Duo units."
"CS-000080",27172,"2025-07-17","Account Administration","P4 - Low","account_admin","Chain of gyms with locations in Madrid, Barcelona and Valencia requesting copies of statements for all three sites for Q3 2023, specifically mentioned Barcelona location shows 15% higher card transaction volume than the other two and accountant needs detailed breakdown."
"CS-000081",7440,"2025-08-13","Account Administration","P4 - Low","account_admin","Customer runs four pharmacies in Lisbon area and wants to update contact email address from personal to company domain, also mentioned noticing the Baixa location processes significantly more Visa transactions while Cascais location sees more Mastercard, asked if this affects anything."
"CS-000082",7612,"2025-06-14","Account Administration","P4 - Low","account_admin","Retail clothing business with shops in Brussels and Antwerp requesting to add new location in Ghent opening next month, currently Brussels processes average €8,500 weekly and Antwerp does €11,200, wants to know if new site can have separate reporting."
"CS-000083",384288,"2025-08-21","Account Administration","P4 - Low","account_admin","Restaurant owner operating in both Vienna and Salzburg needs to change registered phone number and add assistant manager as user with view-only access, mentioned Vienna location averages 180 transactions on Fridays while Salzburg peaks on Saturdays with 240."
"CS-000084",138142,"2025-08-16","Account Administration","P4 - Low","account_admin","Convenience store chain across three Irish towns requesting statement copies for June showing one location in Cork processed €18,900 while Galway did €22,100 and Limerick €19,450, needs breakdown for VAT filing."
"CS-000085",1207307,"2025-07-01","Account Administration","P3 - Medium","account_admin","Beauty salon group with four locations in Athens wants to update business address for head office while keeping individual salon addresses separate, also asked about transaction patterns showing coastal location processes 30% more during summer months."
"CS-000086",1377844,"2025-07-02","Account Administration","P3 - Medium","account_admin","Café operator with two sites in Porto requesting to add accountant as user with access to both locations' data, mentioned Ribeira location shows €3,200 daily average while Boavista location does €2,800, wants accountant to analyze the difference."
"CS-000087",265396,"2025-07-23","Account Administration","P3 - Medium","account_admin","Bookshop owner with stores in Hamburg and Berlin needs to close Hamburg location by end of quarter, currently processing about 85 transactions daily there versus 140 in Berlin, wants final statements sent to updated mailing address."
"CS-000088",747016,"2025-07-06","Account Administration","P3 - Medium","account_admin","Fitness equipment retailer operating in Milan and Rome requesting business name change to reflect new branding, noted Milan location processes higher value transactions averaging €340 per sale while Rome averages €280, asked if this requires separate documentation."
"CS-000089",965069,"2025-06-08","Account Administration","P4 - Low","account_admin","Pharmacy chain with six locations across Belgium needs to add two new users for compliance team who will audit transaction records, mentioned Liège location has different card mix than Brussels sites with more Bancontact usage."
"CS-000090",1183551,"2025-06-08","Account Administration","P4 - Low","account_admin","Hotel group running properties in Nice and Cannes requesting updated contact details for finance director and copies of last six months statements, Cannes location shows €85K monthly card revenue versus Nice at €62K."
"CS-000091",194979,"2025-09-15","Account Administration","P4 - Low","account_admin","Pet supply stores in three Dutch cities need new user added for inventory manager, Rotterdam location processes 320 transactions weekly, Utrecht does 290, and Den Haag 340, wants manager to correlate sales data with stock levels."
"CS-000092",21998,"2025-06-06","Account Administration","P3 - Medium","account_admin","Bakery franchise with locations in Seville and Granada requesting to update registered email and add new Córdoba location opening in three weeks, current locations each process approximately €6,500 weekly with morning peaks between 7-9am."
"CS-000093",1360186,"2025-07-05","Account Administration","P3 - Medium","account_admin","Electronics repair shops in two Austrian cities need contact phone number changed and statement copies for insurance claim, Graz location processed €4,100 last Tuesday while Innsbruck did €3,850 same day, needs transaction-level detail."
"CS-000094",8228,"2025-08-14","Account Administration","P4 - Low","account_admin","Clothing boutiques in Florence and Bologna requesting to add store manager as user with full admin rights, Florence location uses two terminals processing combined 450 transactions weekly while Bologna single terminal handles 380."
"CS-000095",102197,"2025-09-01","Account Administration","P3 - Medium","account_admin","Dental practice group across four German cities needs business name updated following merger and wants to add practice administrator as user, mentioned Frankfurt location processes €28K monthly while Cologne does €31K, Stuttgart €26K and Düsseldorf €29K."
"CS-000096",139646,"2025-08-27","Account Administration","P3 - Medium","account_admin","Wine shop operator with stores in Bordeaux and Toulouse requesting statement copies showing September transactions, Bordeaux location processed €43,200 with average ticket €67 while Toulouse did €38,900 averaging €58 per transaction."
"CS-000097",505093,"2025-09-11","Account Administration","P4 - Low","account_admin","Sporting goods retailer in three Spanish cities needs to close underperforming Málaga location processing only €12K monthly compared to Bilbao at €19K and Zaragoza at €21K, wants final reconciliation and updated contact details for remaining sites."
"CS-000098",228502,"2025-08-02","Account Administration","P4 - Low","account_admin","Jewellery stores in two Greek islands requesting to add seasonal manager as user for summer months, Santorini location processes €95K monthly June through September while Mykonos does €118K same period, needs comparative reporting access."
"CS-000099",232855,"2025-07-02","Account Administration","P4 - Low","account_admin","Organic grocery chain with five locations across Ireland needs updated business registration details and new user for compliance officer, Dublin city centre location processes 890 transactions weekly versus suburban stores averaging 640 each."
"CS-000100",137640,"2025-06-15","Account Administration","P3 - Medium","account_admin","Automotive parts supplier with warehouses in three Italian cities requesting contact detail changes and statement copies for audit, Turin location shows 156 transactions last week totalling €34,200 while Naples had 142 transactions at €29,800 and Genoa 134 at €31,100."
"CS-000101",558132,"2025-07-13","Account Administration","P3 - Medium","account_admin","The merchant has submitted a formal request to update their registered business name from ""Café Bistro Limerick"" to ""Café Bistro Limerick Ltd"" following their recent incorporation. This change must be reflected across all payment processing documentation and terminal receipts to ensure compliance with their updated VAT registration. The modification is scheduled for implementation within three business days to minimize any disruption to their daily transaction volume of approximately €2,400."
"CS-000102",2,"2025-07-04","Account Administration","P4 - Low","account_admin","A request has been logged to add a secondary user with full administrative access to the merchant portal for their Amsterdam location. The business owner requires this additional user to manage terminal configurations and access monthly statements while they focus on expanding operations to a second site. The new user credentials will be provisioned within 24 hours pending verification of the authorization documentation."
"CS-000103",1584817,"2025-06-04","Account Administration","P3 - Medium","account_admin","The merchant operating three retail locations in Munich has requested closure of their underperforming Schwabing branch effective end of month. This closure will result in the return of two Clover Flex 5000 terminals and cessation of processing services for that location, which currently handles approximately €8,500 in monthly card volume. The remaining two locations will continue operating without interruption."
"CS-000104",41,"2025-09-18","Account Administration","P3 - Medium","account_admin","An urgent request has been received to update the primary contact email address from a personal domain to the company's corporate email system. The merchant emphasized that the current contact address is no longer monitored, which has resulted in missed communications regarding three recent chargebacks totaling €487. The update has been prioritized to ensure all future notifications reach the appropriate personnel."
"CS-000105",249,"2025-06-22","Account Administration","P4 - Low","account_admin","The merchant has requested copies of their processing statements for June through June 2024 to provide to their accountant for year-end tax preparation. These statements contain detailed breakdowns of transaction fees, interchange costs, and monthly processing volumes averaging €34,000 across their two Portuguese locations. The documents will be securely transmitted via encrypted email within two business days."
"CS-000106",91342,"2025-09-20","Account Administration","P4 - Low","account_admin","A formal request to add a fourth location in Lyon has been submitted by this expanding restaurant group. The new site requires two payment terminals and is projected to process approximately €15,000 monthly based on the performance of their existing three French locations. Onboarding documentation and terminal deployment are scheduled for completion before their planned opening date of June 15th."
"CS-000107",1623732,"2025-06-18","Account Administration","P4 - Low","account_admin","The merchant has notified us of a change in their registered business address following their relocation to larger premises in Dublin. This administrative update affects their merchant agreement, correspondence address, and the location details displayed on cardholder statements. Processing services will continue uninterrupted during this transition, with all documentation updated within five business days."
"CS-000108",278290,"2025-07-07","Account Administration","P4 - Low","account_admin","An authorization has been received to remove administrative access for a former employee who managed their payment operations. The merchant has confirmed this individual is no longer with the company as of last Friday and should have no further access to transaction data or terminal management functions. The user account has been immediately deactivated to protect the security of their processing environment."
"CS-000109",4463,"2025-07-08","Account Administration","P4 - Low","account_admin","The merchant requires duplicate statements for Q3 2023 as their original copies were lost during an office renovation. These documents are needed urgently for an audit scheduled next week and contain processing data for their two Belgian locations with combined quarterly volumes exceeding €127,000. The statements have been regenerated and will be delivered via courier to meet their deadline."
"CS-000110",1,"2025-09-27","Account Administration","P3 - Medium","account_admin","A request to update the primary contact telephone number has been logged following the merchant's switch to a new telecommunications provider. The previous number is no longer in service, which prevented our risk team from reaching them yesterday regarding an unusual transaction pattern flagged on their Clover Station Duo terminal. The new contact details have been updated across all systems to ensure uninterrupted communication."
"CS-000111",21264,"2025-07-04","Account Administration","P3 - Medium","account_admin","The merchant operating a seasonal business in Athens has requested temporary closure of their account from September through June. This four-month suspension will eliminate monthly service fees during their off-season when the location processes no transactions. Reactivation is scheduled for June 1st to align with their traditional spring reopening and expected monthly volumes of €22,000."
"CS-000112",635,"2025-06-13","Account Administration","P3 - Medium","account_admin","An application to add three new users to the merchant portal has been submitted by this growing enterprise with seven locations across Spain. Each user requires different permission levels: one for statement access only, one for terminal management, and one with full administrative capabilities. The tiered access structure will be configured and activated within 48 hours following standard security verification procedures."
"CS-000113",926497,"2025-09-19","Account Administration","P4 - Low","account_admin","The merchant has formally requested to change their trading name from ""O'Brien's Pub"" to ""The Copper Tap"" following a rebrand completed last month. This change affects terminal receipt headers, cardholder statement descriptors, and all merchant-facing documentation. The update is critical as customers have begun questioning charges appearing under the old business name, resulting in two disputes this week."
"CS-000114",637336,"2025-09-24","Account Administration","P4 - Low","account_admin","A request has been received to close the merchant's secondary location in Vienna, which has been operating at a loss with average monthly card volumes of only €3,200. The single Clover Flex 5000 terminal will be returned, and the location will be deactivated effective the end of this billing cycle. The merchant's primary location will continue processing with no changes to their existing service agreement."
"CS-000115",25987,"2025-06-18","Account Administration","P3 - Medium","account_admin","The merchant requires their September 2024 statement to be resent as they never received the original document via email. This statement is needed immediately to reconcile a discrepancy in their bank account where the settlement amount of €18,743.50 does not match their internal records. The statement has been located and retransmitted with confirmation of successful delivery."
"CS-000116",1858737,"2025-07-22","Account Administration","P4 - Low","account_admin","An urgent request to add a new location in Rotterdam has been escalated due to the merchant's accelerated opening timeline. The site requires three terminals to handle expected volumes of €45,000 monthly and must be operational by this Friday to coincide with their grand opening promotion. Expedited terminal shipping and account configuration have been arranged to meet this compressed schedule."
"CS-000117",489020,"2025-06-17","Account Administration","P4 - Low","account_admin","The merchant has submitted documentation to update their legal entity name following a merger with another company. The new entity ""Mediterranean Foods Group SL"" will replace ""Costa Imports SL"" across all processing records and agreements. This change affects their two Spanish locations processing a combined €67,000 monthly and requires updated banking details for settlement purposes."
"CS-000118",673,"2025-07-20","Account Administration","P3 - Medium","account_admin","A request to modify the secondary contact person has been logged after the merchant's operations manager departed the company. The new contact will be responsible for receiving terminal support communications and monthly processing reports for their four Irish locations. Updated contact information has been verified and implemented across all relevant systems and distribution lists."
"CS-000119",118024,"2025-09-09","Account Administration","P3 - Medium","account_admin","The merchant operating a chain of convenience stores has requested closure of their underperforming Lisbon location, which processes approximately €6,800 monthly across two terminals. The closure is part of a strategic consolidation that will see resources redirected to their three remaining Portuguese stores. Terminal collection has been scheduled for next Tuesday, with final settlement occurring within the standard timeframe."
"CS-000120",104,"2025-06-20","Account Administration","P4 - Low","account_admin","An application to add administrative portal access for the merchant's newly hired financial controller has been received. This user requires read-only access to statements and transaction reports across all five of their German locations but should not have permissions to modify terminal settings or user accounts. The restricted access profile will be created and credentials issued within one business day."
"CS-000121",89,"2025-08-26","Account Administration","P4 - Low","account_admin","The merchant has requested their complete statement history from account opening in July 2022 through present day. These 33 months of statements are required for a comprehensive financial review being conducted by their potential investors as part of due diligence for expansion funding. The complete documentation package representing over €890,000 in cumulative processing volume will be compiled and delivered securely."
"CS-000122",1171148,"2025-08-23","Account Administration","P4 - Low","account_admin","A critical update to the merchant's registered email address has been processed following their notification that their domain expired, causing them to miss important communications. This lapse resulted in their failure to respond to three chargeback notifications totaling €1,240, which were decided in favor of cardholders by default. The new email address has been verified and all pending notifications have been resent."
"CS-000123",357846,"2025-07-18","Account Administration","P3 - Medium","account_admin","The merchant has formally requested to add a second location in Bruges to complement their existing successful operation in Ghent. The new site will require two Clover Station Duo terminals and is projected to process €28,000 monthly based on comparable tourist traffic patterns. Account setup and terminal deployment are scheduled for completion within seven business days."
"CS-000124",1185773,"2025-09-08","Account Administration","P4 - Low","account_admin","A request to update the merchant's mobile contact number has been logged after their previous number was compromised in a security incident. The merchant emphasized the urgency as this number is used for two-factor authentication when accessing their portal containing sensitive transaction data from their three Austrian locations. The new number has been verified and updated across all security systems immediately."
"CS-000125",8835,"2025-08-05","Account Administration","P4 - Low","account_admin","The merchant has requested permanent closure of their account following their decision to cease accepting card payments and move to a cash-only business model. Their single location in Galway currently processes approximately €12,000 monthly, but rising processing costs have made card acceptance unsustainable for their low-margin operation. Account closure procedures have been initiated with final settlement scheduled for next week."
"CS-000126",355206,"2025-06-15","Account Administration","P3 - Medium","account_admin","Merchant calling back regarding business name update submitted on 15th June - original request still showing as pending in system after 10 business days. Advised escalating to back office team for priority processing as merchant needs updated documentation for tax filing deadline next week."
"CS-000127",41722,"2025-06-19","Account Administration","P4 - Low","account_admin","Third contact from this Portuguese restaurant group about adding new location in Porto - previous two tickets closed without resolution despite merchant providing all required documentation including business registration and proof of address. Created new ticket with supervisor flag and attached all documents from earlier cases dated 8th and 22nd July."
"CS-000128",318543,"2025-06-02","Account Administration","P4 - Low","account_admin","Merchant phoned again about statement request for June through June 2024, originally requested via email on 2nd May. Still not received despite confirmation from first call that statements would be sent within 48 hours. Resent immediately via secure portal and confirmed merchant can now access."
"CS-000129",307727,"2025-06-27","Account Administration","P3 - Medium","account_admin","Follow-up call regarding user access issue - merchant's accountant still cannot log in despite credentials being reset twice in past fortnight. Discovered during troubleshooting that email domain was incorrectly entered in original setup on 3rd May, corrected and sent new invitation link."
